"﻿ROLL_NUMBER","RSN","PID","LAT_LONG","PROPERTY_ADDRESS","PROPERTY_POSTAL_CODE","GEOCODE_ADDRESS","YEAR_BUILT","TYPE","PRIMARY_USE","DESCRIPTION","APPROX_BUILDING_AREA","HVAC","FLOORS","PROPERTY_BUILDINGS","NOTES","ORDER","EUI","ENERGY_STAR_SCORE","GREENHOUSE_GAS_EMISSIONS"
"R089303101","110237","26191512","[46.124861,-120.179745]","4280 MONCTON ST  ","V7E 6T4","4280 MONCTON ST @","2005","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","157,097","Electric","4","4","R6","227",89,46,34
"R089303285","182045","26409674","[46.124092,-120.179796]","4211 BAYVIEW ST  ","V7E 6T6","4211 BAYVIEW ST @","2005","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","66,441","Electric","4","4","R6","228",27,100,100
"R089303238","110386","26334704","[46.123946,-120.17916]","4233 BAYVIEW ST  ","V7E 6T7","4233 BAYVIEW ST @","2005","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","62,963","Electric","4","4","R6","229",30,99,80
"R089303343","118558","26530562","[46.124115,-120.180665]","4111 BAYVIEW ST  ","V7E 6T5","4111 BAYVIEW ST @","2006","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","54,242","Electric","4","4","R6","230",78,49,33
"R089840001","87712","25154711","[46.1210993,-120.1611721]","5700 ANDREWS RD  ","V7E 6N7","5700 ANDREWS RD @","2001","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","154,915","ELEC BBOARD","4","1","N/A","231",31,50,55
"R064652001","57701","18012337","[46.1622778519873,-120.142727196909]","7500 GRANVILLE AVE  ","V6Y 3Y6","7500 GRANVILLE AVE @","1992","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","148,521","ELEC BBOARD","15","1","N/A","232",51,76,84
"R059679113","155058","28238494","[46.1691005751565,-120.135473459935]","8033 SABA RD  ","V6Y 4M8","8033 SABA RD @","2010","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","142,936","IN-FL RAD'NT","16","1","N/A","233",95,25,92
"R057271002","90211","25595172","[46.1707293022353,-120.1387828714]","7831 WESTMINSTER HWY  ","V6X 4J4","7831 WESTMINSTER HWY @","2003","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","142,447","ELEC BBD-ZND","15","1","N/A","234",28,24,79
"R059507005","80607","23890487","[46.169075,-120.139707]","6080 MINORU BLVD  ","V6Y 4A7","6080 MINORU BLVD @","1997","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","139,387","ELEC BBD-ZND","15","2","R7","235",35,130,112
"R059506005","78433","23704551","[46.16831,-120.139696]","6088 MINORU BLVD  ","V6Y 4A8","6088 MINORU BLVD @","1997","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","137,887","ELEC BBD-ZND","15","2","R7","236",98,26,46
"R059905004","79647","23799285","[46.1660076510048,-120.132257677939]","6611 COONEY RD  ","V6Y 4C5","6611 COONEY RD @","1997","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","138,829","ELEC BBD-ZND","15","1","N/A","237",73,61,57
"R064420007","58262","18201580","[46.1567492622331,-120.126144837268]","8880 JONES RD  ","V6Y 3Z1","8880 JONES RD @","1993","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","138,398","FLR FURNACE","4","1","N/A","238",73,58,114
"R088473490","23676","4866711","[46.126957,-120.193149]","11671 7TH AVE  ","V7E 3B7","11671 7TH AVE @","1978","Residential","Multi-Family (Apartment Block)","Apartment - Tenant Pays Heat","62,595","Hot Water","3","3","R8","239",104,64,134
"R088473490","84586","4866711","[46.127773,-120.192261]","11673 7TH AVE  ","V7E 3B7","11673 7TH AVE @","1978","Residential","Multi-Family (Apartment Block)","Apartment - Tenant Pays Heat","62,491","Hot Water","3","3","R8","240",35,70,46
"R088473490","72375","4866711","[46.127626,-120.194324]","11675 7TH AVE  ","V7E 3B7","11675 7TH AVE @","1978","Residential","Multi-Family (Apartment Block)","Apartment - Tenant Pays Heat","62,392","Hot Water","3","3","R8","241",101,96,28
"R059678112","137950","27288048","[46.16954,-120.135971]","6068 NO 3 RD  ","V6Y 4M7","6068 NO 3 RD","2007","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","138,124","FHA ELECT","15","1","N/A","242",50,60,102
"R060274007","145078","27685420","[46.1694166442002,-120.123418329618]","9171 FERNDALE RD  ","V6Y 0A5","9171 FERNDALE RD @","2008","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","137,590","ELEC BBOARD","11","1","N/A","243",72,91,114
"R064014004","147238","27858286","[46.161977,-120.136068]","7080 NO 3 RD  ","V6Y 0B5","7080 NO 3 RD","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","135,048","ELEC BBOARD","15","1","N/A","244",76,62,29
"R084399002","146679","27822583","[46.181562,-120.121555]","9288 ODLIN RD  ","V6X 0C3","9288 ODLIN RD @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","134,770","ELEC BBOARD","4","3","R9","245",97,41,76
"R084399133","148238","27936040","[46.180573,-120.12218]","9199 TOMICKI AVE  ","V6X 0C4","9199 TOMICKI AVE @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","73,774","ELEC BBOARD","4","3","R9","246",78,85,62
"R084399197","148239","27936686","[46.180589,-120.121037]","9299 TOMICKI AVE  ","V6X 0C5","9299 TOMICKI AVE @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","73,694","ELEC BBOARD","4","3","R9","247",78,99,84
"R065564069","8562","3549496","[46.154451,-120.155641]","6200 BLUNDELL RD  ","V7C 1H8","6200 BLUNDELL RD @","1975","Residential","Multi-Family (Apartment Block)","Apartment - Owner Pays Heat","66,717","Hot Water","7","2","R10","248",35,60,131
"R065564069","69906","3549496","[46.153735,-120.155416]","6220 BLUNDELL RD  ","V7C 1H8","6220 BLUNDELL RD @","1975","Residential","Multi-Family (Apartment Block)","Apartment - Owner Pays Heat","66,707","Hot Water","7","2","R10","249",80,36,125
"R059911101","160739","28615425","[46.16429,-120.128478]","8600 PARK RD  ","V6Y 0C3","8600 PARK RD @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","54,733","ELEC BBOARD","4","3","R11","250",27,31,98
"R059911164","165561","28895240","[46.164023,-120.129401]","6828 ECKERSLEY RD  ","V6Y 0E8","6828 ECKERSLEY RD @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","130,751","ELEC BBOARD","4","3","R11","251",89,93,67
"R059911306","166249","28934580","[46.164451,-120.129583]","6800 ECKERSLEY RD  ","V6Y 0E7","6800 ECKERSLEY RD @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","89,352","ELEC BBOARD","4","3","R11","252",32,87,80
"R089825002","83860","24322148","[46.121658,-120.1621]","5600 ANDREWS RD  ","V7E 6N1","5600 ANDREWS RD @","1998","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","127,494","ELEC BBOARD","4","1","N/A","253",59,53,55
"R060384119","144538","27627039","[46.166039,-120.122408]","6333 KATSURA ST  ","V6Y 4L9","6333 KATSURA ST @","2008","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","126,418","ELEC BBOARD","15","2","R12","254",43,33,73
"R060384003","133857","27041298","[46.166018,-120.123824]","9188 COOK RD  ","V6Y 4M1","9188 COOK RD @","2007","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","118,541","ELEC BBOARD","15","2","R12","255",88,46,88
"R089826001","79180","23742534","[46.121583,-120.159225]","5800 ANDREWS RD  ","V7E 6M2","5800 ANDREWS RD @","1997","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","122,162","IN-FL RAD'NT","4","1","N/A","256",105,42,40
"R089305001","94491","25663402","[46.1220866123696,-120.172256977901]","4600 WESTWATER DR  ","V7E 6S2","4600 WESTWATER DR @","2003","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","122,011","FHA GAS","4","1","N/A","257",53,45,37
"R089305101","101847","25860615","[46.122417,-120.173298]","4500 WESTWATER DR  ","V7E 6S1","4500 WESTWATER DR @","2004","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","121,823","ELEC BBD-ZND","4","1","N/A","258",60,82,101
"R057205078","84231","17271959","[46.174327,-120.125965]","8811 LANSDOWNE RD  ","V6X 3T4","8811 LANSDOWNE RD @","1991","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","121,691","FLR FURNACE","15","4","R13","259",118,72,67
"R057205001","84230","17270626","[46.174818,-120.125557]","8831 LANSDOWNE RD  ","V6X 3T5","8831 LANSDOWNE RD @","1991","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","118,691","FLR FURNACE","15","4","R13","260",71,98,35
"R057205158","84229","19117400","[46.175316,-120.125246]","8851 LANSDOWNE RD  ","V6X 3X7","8851 LANSDOWNE RD @","1995","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","107,015","FLR FURNACE","15","4","R13","261",34,63,55
"R057205275","54709","19118571","[46.175729,-120.125943]","8871 LANSDOWNE RD  ","V6X 3X8","8871 LANSDOWNE RD @","1995","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","107,015","FLR FURNACE","15","4","R13","262",93,96,49
"R089830001","78229","23683520","[46.121629,-120.163095]","5500 ANDREWS RD  ","V7E 6M9","5500 ANDREWS RD @","1997","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","121,116","ELEC BBD-ZND","4","1","N/A","263",84,79,54
"R056863166","150458","28152719","[46.173529,-120.133985]","8160 LANSDOWNE RD  ","V6X 0A9","8160 LANSDOWNE RD @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","120,943","ELEC BBOARD","15","3","R14","264",78,94,73
"R056863061","150458","28055969","[46.173389,-120.13486]","8120 LANSDOWNE RD  ","V6X 0A1","8120 LANSDOWNE RD @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","120,890","ELEC BBOARD","15","3","R14","265",50,85,71
"R084410001","178138","29421357","[46.180527,-120.120176]","9333 TOMICKI AVE  ","V6X 0L4","9333 TOMICKI AVE @","2014","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","120,113","ELEC BBOARD","4","2","R15","266",51,85,61
"R084410135","177498","29422698","[46.181551,-120.120208]","9388 ODLIN RD  ","V6X 0L5","9388 ODLIN RD @","2014","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","98,356","ELEC BBOARD","4","2","R15","267",69,48,41
"R064682001","42020","7340109","[46.1602287990526,-120.141188974923]","7251 MINORU BLVD  ","V6Y 3P5","7251 MINORU BLVD @","1986","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","119,974","HW GAS","3","1","N/A","268",86,88,107
"R090515001","77825","23647019","[46.1729618790782,-120.160042352135]","5860 DOVER CRES  ","V7C 5S6","5860 DOVER CR @","1997","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","116,002","ELEC BBD-ZND","8","1","N/A","269",75,46,35
"R064069150","94926","25661761","[46.162457,-120.130135]","8460 GRANVILLE AVE  ","V6Y 4E7","8460 GRANVILLE AVE @","2003","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","114,316","ELEC BBOARD","16","3","R16","270",84,51,69
"R064069004","85956","24678651","[46.162073,-120.130546]","7080 ST ALBANS RD  ","V6Y 4E6","7080 ST ALBANS RD","1999","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","112,143","ELEC BBOARD","16","3","R16","271",96,75,74
"R064069251","95810","26126265","[46.162436,-120.12932]","8480 GRANVILLE AVE  ","V6Y 4E8","8480 GRANVILLE AVE @","2004","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","103,447","ELEC BBOARD","5","3","R16","272",97,64,71
"R030684491","176246","29336082","[46.133916,-120.089767]","12339 STEVESTON HWY  ","V6W 0B4","12339 STEVESTON HWY @","2014","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","113,137","ELEC BBOARD","4","2","R17","273",59,131,87
"R030684401","176258","29335183","[46.133821,-120.091154]","10880 NO 5 RD  ","V6W 0B3","10880 NO 5 RD","2014","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","97,441","ELEC BBOARD","4","2","R17","274",60,40,52
"R073730010","172278","29190711","[46.140495,-120.138214]","10020 DUNOON DR  ","V7A 0A7","10020 DUNOON DR @","2013","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","113,068","ELEC BBOARD","4","1","N/A","275",23,59,81
"R059756006","163498","28755081","[46.1643547720363,-120.134190820995]","6733 BUSWELL ST  ","V6Y 0E3","6733 BUSWELL ST @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","112,602","ELEC BBD-ZND","14","1","N/A","276",82,26,134
"R084424001","158358","28427254","[46.181545,-120.119019]","9500 ODLIN RD  ","V6X 0H5","9500 ODLIN RD @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","112,473","ELEC BBOARD","4","2","R18","277",57,96,94
"R084424126","160419","28606108","[46.180528,-120.119105]","9399 TOMICKI AVE  ","V6X 0H6","9399 TOMICKI AVE @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","105,655","ELEC BBOARD","4","2","R18","278",63,73,34
"R059628014","153438","28188861","[46.169947,-120.135343]","8068 WESTMINSTER HWY  ","V6X 0C6","8068 WESTMINSTER HWY @","2010","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Concrete","112,334","ELEC BBOARD","15","1","N/A","279",39,82,69
"R064453100","47095","13062735","[46.1620938988586,-120.144173760022]","7051 MOFFATT RD  ","V6Y 3W2","7051 MOFFATT RD @","1990","Residential","Seniors Independent & Assisted Living","Seniors Supportive Living","111,991","Electric","4","1","N/A","280",69,118,28
"R059684126","91893","25613821","[46.168257,-120.134057]","6331 BUSWELL ST  ","V6Y 4H2","6331 BUSWELL ST @","2003","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","111,474","FHA GAS","15","2","R19","281",65,127,123
"R059684009","91652","25612654","[46.168552,-120.134797]","8100 SABA RD  ","V6Y 4H1","8100 SABA RD @","2003","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","110,997","FHA GAS","16","2","R19","282",97,33,105
"R064404019","53759","16984668","[46.1568579985757,-120.127471617082]","8700 JONES RD  ","V6Y 3X7","8700 JONES RD @","1991","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","110,856","ELEC BBOARD","3","1","N/A","283",72,70,99
"R064017001","84274","24375985","[46.162508,-120.133821]","8180 GRANVILLE AVE  ","V6Y 4G1","8180 GRANVILLE AVE @","1999","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","109,971","ELEC BBOARD","15","1","N/A","284",103,135,117
"R058974000","4342","3586162","[46.169888,-120.150184]","6800 WESTMINSTER HWY  ","V7C 1C5","6800 WESTMINSTER HWY @","1970","Residential","Multi-Family (Apartment Block)","Apartment - Owner Pays Heat","60,879","Hot Water","3","2","R20","285",122,130,36
"R058974000","68365","3586162","[46.169258,-120.150173]","6051 AZURE RD  ","V7C 1C5","6051 AZURE RD @","1970","Residential","Multi-Family (Apartment Block)","Apartment - Owner Pays Heat","60,680","Hot Water","3","2","R20","286",101,89,67
"R064624002","35430","2601052","[46.1595811812082,-120.144781963558]","7297 MOFFATT RD  ","V6Y 3E6","7297 MOFFATT RD @","1981","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","108,267","ELEC BBD-ZND","3","1","N/A","287",52,103,98
"R083973001","138819","27339319","[46.184476,-120.135178]","8080 CAMBIE RD  ","V6X 0C1","8080 CAMBIE RD @","2008","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","108,169","HEAT PUMP","6","1","N/A","288",62,60,95
"R097622055","84219","1186493","[46.149726,-120.180348]","8860 NO 1 RD  ","V7C 4C2","8860 NO 1 RD","1973","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","107,758","HW GAS","3","6","R22","289",72,47,49
"R097621001","84222","1184504","[46.148617,-120.179417]","4111 FRANCIS RD  ","V7C 1J8","4111 FRANCIS RD @","1973","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","52,264","HW GAS","3","6","R22","290",107,47,82
"R097679040","84221","707953","[46.151296,-120.18042]","8720 NO 1 RD  ","V7C 4L5","8720 NO 1 RD","1973","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","58,074","HW GAS","3","6","R22","291",85,67,71
"R097679001","84220","1202871","[46.151142,-120.179213]","8740 NO 1 RD  ","V7C 4L5","8740 NO 1 RD","1973","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","50,863","HW GAS","3","6","R22","292",79,84,36
"R097679088","84218","1189689","[46.151689,-120.179605]","8760 NO 1 RD  ","V7C 4L5","8760 NO 1 RD","1973","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","58,074","HW GAS","3","6","R22","293",81,33,84
"R097621043","35531","1185268","[46.149712,-120.179221]","8880 NO 1 RD  ","V7C 4C3","8880 NO 1 RD","1973","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","107,758","HW GAS","3","6","R22","294",56,70,67
"R056803001","49080","14818175","[46.1724864649785,-120.128351622608]","8611 ACKROYD RD  ","V6X 3P4","8611 ACKROYD RD @","1989","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","107,034","Electric","3","1","N/A","295",32,52,50
"R059504115","148666","27947246","[46.1685363370366,-120.137191636562]","7888 SABA RD  ","V6Y 0A2","7888 SABA RD @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","106,593","ELEC BBOARD","15","1","N/A","296",133,69,80
"R089829009","78164","23678691","[46.120891,-120.159199]","12633 NO 2 RD  ","V7E 6N5","12633 NO 2 RD","1997","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","106,212","ELEC BBD-ZND","4","1","N/A","297",37,97,110
"R056964006","96113","25717782","[46.1706765979285,-120.131945577363]","5933 COONEY RD  ","V6X 4H3","5933 COONEY RD @","2003","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","105,327","ELEC BBD-ZND","15","1","N/A","298",37,55,79
"R060380117","146078","27785378","[46.167446,-120.121553]","9371 HEMLOCK DR  ","V6Y 4K6","9371 HEMLOCK DR @","2009","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","102,857","ELEC BBOARD","5","2","R23","299",50,101,107
"R060380001","144939","27654672","[46.16746,-120.119954]","9373 HEMLOCK DR  ","V6Y 0A9","9373 HEMLOCK DR @","2008","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Concrete","100,857","ELEC BBOARD","5","2","R23","300",89,89,81
"R057596101","167898","28999886","[46.1724002647538,-120.14422683849]","7117 ELMBRIDGE WAY  ","V6X 0J2","7117 ELMBRIDGE WAY @","2012","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","102,617","Electric","12","1","N/A","301",70,122,37
"R065571000","8563","5146135","[46.1551057845671,-120.155318218028]","6260 BLUNDELL RD  ","V7C 1H8","6260 BLUNDELL RD @","1982","Residential","Seniors Licensed Care","Convalescent Hospital","101,995","Hot Water","2","1","N/A","302",36,105,36
"R060383010","107992","26121379","[46.167908,-120.122411]","6233 KATSURA ST  ","V6Y 4K1","6233 KATSURA ST @","2004","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","101,516","ELEC BBOARD","15","2","R24","303",40,56,105
"R060383145","108714","26122723","[46.16727,-120.123044]","9133 HEMLOCK DR  ","V6Y 4J9","9133 HEMLOCK DR @","2004","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","99,807","ELEC BBOARD","15","2","R24","304",32,47,52
"R064627001","84207","2121158","[46.160548,-120.146029]","7293 MOFFATT RD  ","V6Y 3E4","7293 MOFFATT RD @","1981","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","101,493","ELEC BBD-ZND","3","2","R25","305",51,101,45
"R064627034","35434","2121549","[46.159706,-120.146083]","7295 MOFFATT RD  ","V6Y 3E5","7295 MOFFATT RD @","1981","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","93,758","ELEC BBD-ZND","3","2","R25","306",27,72,95
"R089831015","81789","24079618","[46.120077,-120.159179]","12639 NO 2 RD  ","V7E 6N6","12639 NO 2 RD","1998","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","101,317","ELEC BBD-ZND","4","1","N/A","307",98,84,93
"R081136049","19840","3447898","[46.187732,-120.103388]","10991 SHELLBRIDGE WAY  ","V6X 3C6","10991 SHELLBRIDGE WAY @","1980","Commercial","Office Building (Primary Use)","Office","79,658","N/A","3","1","N/A","424",82,59,104
"R031968085","124505","23510684","[46.1362029921679,-120.068351862265]","10688 NO 6 RD  ","V6W 1E7","10688 NO 6 RD","2008","Commercial","Hotel","Hotel - Full Service","79,649","N/A","4","1","N/A","425",74,63,64
"R058077336","173828","29232759","[46.17372,-120.148478]","5511 HOLLYBRIDGE WAY  ","V7C 4N3","5511 HOLLYBRIDGE WAY @","2014","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","100,534","Electric","5","4","R26","310",85,131,32
"R058077219","174022","29231582","[46.173388,-120.148132]","6971 ELMBRIDGE WAY  ","V7C 0A5","6971 ELMBRIDGE WAY @","2014","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","99,882","Electric","14","4","R26","311",42,29,52
"R058077104","173539","29230438","[46.173253,-120.148924]","6951 ELMBRIDGE WAY  ","V7C 0A4","6951 ELMBRIDGE WAY @","2014","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","99,408","Electric","12","4","R26","312",101,26,87
"R058077332","174778","29232716","[46.173949,-120.148795]","6200 RIVER RD  ","V7C 0B1","6200 RIVER RD @","2014","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","77,484","Electric","10","4","R26","313",81,103,44
"R057202196","131756","26870738","[46.176627,-120.127722]","5068 KWANTLEN ST  ","V6X 4K4","5068 KWANTLEN ST @","2006","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","100,494","ELEC BBOARD","15","3","R27","314",114,76,91
"R057202296","135658","27108058","[46.176232,-120.128285]","5088 KWANTLEN ST  ","V6X 4K5","5088 KWANTLEN ST @","2007","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","99,009","ELEC BBOARD","15","3","R27","315",75,102,36
"R057202101","128342","26671638","[46.177023,-120.128296]","5028 KWANTLEN ST  ","V6X 4K2","5028 KWANTLEN ST @","2006","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","98,994","ELEC BBOARD","15","3","R27","316",58,91,103
"R060378136","125956","26571358","[46.167143,-120.124035]","9188 HEMLOCK DR  ","V6Y 4J7","9188 HEMLOCK DR @","2006","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","100,233","Electric","16","2","R28","317",50,41,92
"R060378010","125701","26570092","[46.167929,-120.123745]","9180 HEMLOCK DR  ","V6Y 4J5","9180 HEMLOCK DR @","2006","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","94,486","Electric","16","2","R28","318",31,94,27
"R067388001","148418","27939553","[46.15436,-120.123092]","8040 GARDEN CITY RD  ","V6Y 2N9","8040 GARDEN CITY RD","1991","Commercial","Shopping Centre (Community)","Community Shopping Centre","79,638","Package Unit","2","1","N/A","522",66,87,86
"R083321001","130576","26832721","[46.182276,-120.137692]","4351 NO 3 RD  ","V6X 3A7","4351 NO 3 RD","1976","Commercial","Storage & Warehousing","Warehouse, Storage","79,638","Space Heater","1","1","N/A","440",47,105,64
"R057601308","143877","27520668","[46.171802,-120.14448]","7360 ELMBRIDGE WAY  ","V6X 0A5","7360 ELMBRIDGE WAY @","2008","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","98,508","ELEC BBOARD","15","3","R29","321",106,47,112
"R057601209","139719","27367045","[46.171837,-120.14448]","6888 ALDERBRIDGE WAY  ","V6X 0A7","6888 ALDERBRIDGE WAY @","2008","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","98,158","ELEC BBOARD","15","3","R29","322",102,47,30
"R057601412","143878","27592383","[46.17183,-120.143739]","7362 ELMBRIDGE WAY  ","V6X 0A6","7362 ELMBRIDGE WAY @","2008","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","96,634","ELEC BBOARD","15","3","R29","323",95,44,25
"R101891001","35532","1065343","[46.1371865360809,-120.188805206656]","3451 SPRINGFIELD DR  ","V7E 1Z2","3451 SPRINGFIELD DR @","1971","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","98,380","HW GAS","3","1","N/A","324",128,43,54
"R101888001","35548","1087339","[46.136562,-120.190136]","3411 SPRINGFIELD DR  ","V7E 1Z1","3411 SPRINGFIELD DR @","1971","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","98,374","HW GAS","3","1","N/A","325",57,102,101
"R072299000","14350","4174887","[46.1477491926618,-120.139971447749]","7500 FRANCIS RD  ","V6Y 1A2","7500 FRANCIS RD @","1983","Residential","Multi-Family (Apartment Block)","Apartment - Tenant Pays Heat","98,165","Electric","3","1","N/A","326",102,34,74
"R059894010","166626","28939344","[46.16359,-120.131045]","8333 ANDERSON RD  ","V6Y 0E2","8333 ANDERSON RD @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","98,052","Electric","13","2","R30","327",100,65,76
"R059894124","166398","28940482","[46.164222,-120.131109]","6888 COONEY RD  ","V6Y 0E1","6888 COONEY RD @","2011","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Hi-Rise","90,970","Electric","12","2","R30","328",133,109,121
"R117095104","173678","29237491","[46.201809,-120.099781]","11400 TWIGG PL  ","V6V 3C1","11400 TWIGG PL @","2006","Commercial","Commercial Strata-Lot","Warehouse, Storage","79,601","N/A","2","1","N/A","612",44,84,53
"R064900055","84134","11400536","[46.158638,-120.137558]","7500 ABERCROMBIE DR  ","V6Y 3J9","7500 ABERCROMBIE DR @","1988","Residential","Strata-Lot Residence (Condominium)","Strata Apartment - Frame","96,851","ELEC BBD-ZND","3","2","R43","330",58,74,123
"R033055000","87542","25104071","[46.199958,-120.064326]","14488 KNOX WAY  ","V6V 2Z5","14488 KNOX WAY @","2002","Commercial","Storage & Warehousing","Industrial Flex Building","79,493","Space Heater","2","2","C8","76",34,106,132
"R059830016","62678","19044640","[46.1638052080383,-120.13491762201]","8111 ANDERSON RD  ","V6Y 3Z8","8111 ANDERSON RD @","1994","Residential","Strata-Lot Residence (Condominium)","Mixed Retail With Residential","96,352","ELEC RAD'NT","14","1","N/A","332",85,75,57
"R016327001","52292","16716108","[46.173369,-120.073522]","13511 COMMERCE PKY  ","V6V 2J8","13511 COMMERCE PKY @","1989","Commercial","Office Building (Primary Use)","Office","79,396","Package Unit","2","2","C27 - Refer to Lat/Lomg","495",54,128,77
